trade_number,cumulative_pnl,timestamp_ms
365,7956.903040773992,1772164800104
366,7980.352653177093,1772165400059
367,8005.755878983545,1772165700195
368,8151.988755695874,1772165700195
369,8214.40134310846,1772166000116
370,8237.850955511562,1772166300060
371,8261.300567914663,1772166600133
372,8323.71315532725,1772166600133
373,8347.162767730351,1772166900044
374,8370.612380133452,1772167500152
375,8410.379219511691,1772168400086
376,8556.61209622402,1772168400086
377,8598.101457926148,1772169900056
378,8623.504683732599,1772174100079
379,8644.292229520144,1772174400046
380,8669.695455326595,1772174700129
381,8709.462294704834,1772176800023
382,8749.229134083072,1772177400214
383,8790.7184957852,1772178000025
384,8814.168108188302,1772178300190
385,8853.93494756654,1772179200121
386,9000.16782427887,1772179200121
387,9062.580411691457,1772179800091
388,9086.030024094558,1772181600016
389,9111.433249901009,1772182200110
390,9086.433249901009,1772182500048
391,9111.83647570746,1772182800069
392,9151.603315085698,1772183700183
393,9126.603315085698,1772184300111
394,9150.0529274888,1772185200110
395,9178.700996158328,1772185800020
396,9218.467835536567,1772186100012
397,9243.871061343018,1772186400123
398,9272.519130012546,1772186400123
399,9314.008491714674,1772186700100
400,9334.79603750222,1772187000073
401,9374.562876880458,1772187300100
402,9416.052238582586,1772187300100
403,9439.501850985687,1772187900024
404,9480.991212687815,1772188200113
405,9506.394438494266,1772188500028
406,9481.394438494266,1772189100189
407,9506.797664300717,1772189100189
408,9548.287026002845,1772189400157
409,9576.935094672373,1772189700073
410,9618.424456374501,1772190000167
411,9659.91381807663,1772190000167
412,9685.31704388308,1772190300046
413,9710.720269689531,1772190600129
414,9752.209631391659,1772190900077
415,9777.61285719811,1772190900077
416,9806.260925867638,1772191200025
417,9831.66415167409,1772191500042
418,9806.66415167409,1772191800238
419,9835.312220343618,1772191800238
420,9858.761832746719,1772192436723
421,9898.528672124958,1772192700169
422,9928.353233528467,1772193000121
423,9958.177794931977,1772193600208
424,9933.177794931977,1772193600208
425,9972.944634310215,1772193900051
426,9993.73218009776,1772194200096
427,10022.38024876729,1772194500136
428,10062.147088145528,1772194500136
429,10103.636449847656,1772194800059
430,10129.039675654107,1772195100063
431,10170.529037356235,1772195400209
432,10195.932263162686,1772195700106
433,10235.699102540924,1772196000054
434,10277.188464243052,1772196300174
435,10252.188464243052,1772196300174
436,10280.83653291258,1772196600064
437,10255.83653291258,1772197200085
438,10295.60337229082,1772197200085
439,10321.00659809727,1772197500130
440,10349.654666766799,1772197800054
441,10375.05789257325,1772198100236
442,10400.4611183797,1772198400098
443,10441.950480081829,1772198700044
444,10416.950480081829,1772199000086
445,10445.598548751357,1772199300088
446,10485.365388129596,1772199600061
447,10506.152933917141,1772199900177
448,10481.152933917141,1772199900177
449,10506.556159723592,1772200200028
450,10531.959385530043,1772200500105
451,10506.959385530043,1772200800194
452,10532.362611336494,1772200800194
453,10557.765837142944,1772200800194
454,10599.255198845072,1772201100102
455,10574.255198845072,1772201700162
456,10614.022038223311,1772202000013
457,10655.511399925439,1772202300103
458,10695.278239303678,1772202600171
459,10716.065785091223,1772202900122
460,10741.469010897674,1772203200305
461,10770.117079567202,1772203500146
462,10745.117079567202,1772203500146
463,10773.765148236731,1772203800133
464,10815.254509938859,1772204100164
465,10790.254509938859,1772204400147
466,10831.743871640987,1772204400147
467,10852.531417428532,1772204700151
468,10873.318963216077,1772205000046
469,10848.318963216077,1772205300088
470,10869.106509003623,1772205300088
471,10889.894054791168,1772205600003
472,10910.681600578713,1772205900102
473,10931.469146366258,1772206200091
474,10971.235985744497,1772206500043
475,11011.002825122736,1772206800050
476,11050.769664500975,1772207100052
477,11071.55721028852,1772207400036
478,11096.96043609497,1772207700058
479,11125.6085047645,1772208000140
480,11146.396050552044,1772208000140
481,11167.18359633959,1772208000140
482,11206.950435717828,1772208000140
483,11235.598504387357,1772208600115
484,11277.087866089485,1772208900078
485,11252.087866089485,1772209500029
486,11275.537478492586,1772210400035
487,11304.185547162115,1772210700159
488,11279.185547162115,1772211000077
489,11320.674908864243,1772211600208
490,11295.674908864243,1772211600208
491,11321.078134670694,1772211900072
492,11296.078134670694,1772212200127
493,11319.527747073795,1772212500136
